Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
580,3,4,3,4,3,3,3,3,1,4,4,2,3,3,56,49.0,neutral or dissatisfied
3013,5,5,3,5,2,1,4,5,5,5,5,1,5,3,0,0.0,satisfied
453,4,1,4,4,3,4,3,3,3,3,3,3,3,3,0,2.0,neutral or dissatisfied
1076,5,2,2,2,5,5,4,5,3,2,5,1,4,5,3,4.0,satisfied
223,2,2,2,1,3,2,3,3,5,4,4,5,5,3,0,13.0,neutral or dissatisfied
236,2,2,2,2,5,5,5,5,5,5,5,4,5,5,16,0.0,satisfied
3152,5,5,5,5,5,5,5,5,4,4,5,4,4,5,0,0.0,satisfied
1005,3,3,3,4,3,3,3,3,4,3,3,2,4,3,10,9.0,neutral or dissatisfied
2556,0,3,0,3,4,3,4,2,2,0,2,2,2,3,0,0.0,satisfied
239,2,4,2,4,1,2,1,1,4,3,3,2,2,1,0,0.0,neutral or dissatisfied
1147,2,2,2,2,2,5,4,5,5,5,5,4,5,4,0,,satisfied
641,2,2,4,4,2,2,2,2,2,1,4,2,3,2,34,18.0,neutral or dissatisfied
373,4,4,4,4,3,4,4,4,4,4,4,4,4,3,7,0.0,satisfied
883,3,2,2,2,3,2,3,3,2,1,4,4,4,3,17,27.0,neutral or dissatisfied
460,2,5,2,3,1,3,4,3,3,2,5,2,3,1,1,0.0,neutral or dissatisfied
637,1,3,1,4,4,1,4,4,2,1,3,3,4,4,23,13.0,neutral or dissatisfied
546,1,5,2,3,2,2,5,2,4,2,1,4,1,2,18,23.0,neutral or dissatisfied
227,3,5,3,3,5,3,3,5,4,5,5,5,4,5,0,0.0,neutral or dissatisfied
912,2,4,2,3,4,2,4,4,4,5,4,4,5,4,0,17.0,neutral or dissatisfied
1346,1,4,4,4,1,1,1,1,2,4,4,4,4,1,11,0.0,neutral or dissatisfied
3540,3,3,3,3,3,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
201,5,0,5,4,2,5,2,2,4,2,5,3,4,2,0,0.0,satisfied
759,2,3,2,2,4,4,1,1,1,2,1,2,1,2,10,21.0,neutral or dissatisfied
937,3,5,3,5,3,2,1,2,3,2,1,1,2,1,123,164.0,neutral or dissatisfied
2474,4,4,4,4,2,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
296,3,2,2,2,3,4,3,3,3,3,3,4,3,3,5,10.0,satisfied
190,4,2,2,2,4,4,4,4,1,3,3,1,3,4,28,16.0,neutral or dissatisfied
3964,1,1,1,1,4,4,4,4,3,1,5,5,4,4,0,0.0,satisfied
3396,4,3,3,3,4,4,4,4,3,3,4,4,4,4,43,33.0,neutral or dissatisfied
397,3,1,1,1,3,3,3,3,1,2,3,1,4,3,28,25.0,neutral or dissatisfied
326,5,3,5,3,1,5,1,1,3,2,3,2,1,1,0,0.0,satisfied
486,3,0,3,2,3,3,3,3,3,4,4,3,4,3,45,38.0,neutral or dissatisfied
1674,3,3,4,3,5,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
2311,2,5,2,3,2,4,5,3,3,2,3,4,3,4,38,22.0,neutral or dissatisfied
337,5,5,5,3,3,5,3,3,3,4,5,4,4,3,0,0.0,satisfied
762,3,3,3,3,1,3,1,1,3,4,2,1,3,1,116,105.0,neutral or dissatisfied
2860,2,2,2,2,4,4,5,5,5,5,5,5,5,3,0,0.0,satisfied
4983,4,4,4,4,4,4,4,3,4,3,5,4,5,4,2,0.0,satisfied
534,1,1,1,1,1,1,1,1,4,5,3,1,4,1,0,0.0,neutral or dissatisfied
2586,3,3,3,3,4,4,4,5,4,5,4,4,3,4,0,0.0,satisfied
486,5,5,5,5,2,5,4,4,4,4,4,3,4,3,96,88.0,satisfied
101,4,4,4,4,2,5,5,4,4,4,4,3,4,2,0,9.0,satisfied
214,3,1,4,2,3,4,3,3,2,3,2,2,3,3,0,0.0,neutral or dissatisfied
2586,1,2,1,3,2,1,2,2,4,1,4,3,3,2,0,0.0,neutral or dissatisfied
404,2,4,2,4,1,2,1,1,4,2,5,3,4,1,0,0.0,neutral or dissatisfied
1235,4,5,4,4,5,4,4,2,2,2,2,4,2,5,0,0.0,satisfied
3885,5,5,5,5,4,5,5,3,3,3,3,4,3,3,0,0.0,satisfied
779,4,5,5,5,2,3,4,4,4,4,4,2,4,3,5,14.0,neutral or dissatisfied
1431,2,4,1,3,2,1,1,2,3,5,1,5,5,2,6,17.0,neutral or dissatisfied
456,2,5,2,5,2,1,2,2,4,4,3,4,3,2,26,17.0,neutral or dissatisfied
991,2,4,2,4,3,2,3,3,4,2,4,3,4,3,25,17.0,neutral or dissatisfied
107,3,2,3,4,4,3,4,4,2,4,4,2,3,4,0,0.0,neutral or dissatisfied
270,3,0,3,1,4,3,4,4,4,2,3,1,3,4,0,0.0,neutral or dissatisfied
2469,2,2,2,2,2,3,2,2,2,5,4,4,3,2,0,0.0,neutral or dissatisfied
1139,2,4,3,3,4,3,4,4,1,2,4,1,4,4,24,17.0,neutral or dissatisfied
1723,1,5,1,3,4,3,5,5,5,1,5,3,5,3,0,0.0,neutral or dissatisfied
551,2,1,1,1,2,2,1,2,2,2,4,2,4,2,17,8.0,neutral or dissatisfied
1587,5,5,5,5,5,5,5,4,4,4,4,5,4,4,26,33.0,satisfied
1609,4,4,4,4,4,4,4,4,4,4,4,4,4,3,10,0.0,satisfied
370,4,4,4,5,4,4,4,4,4,5,5,4,5,4,0,0.0,satisfied
1256,4,4,4,4,2,4,5,4,4,4,4,3,4,5,0,1.0,satisfied
2075,2,4,2,5,2,2,4,2,3,5,1,2,5,2,6,10.0,neutral or dissatisfied
370,2,5,2,4,1,2,1,1,1,3,5,5,5,1,0,0.0,neutral or dissatisfied
3085,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
1009,2,2,2,3,1,2,1,1,1,3,3,3,3,1,14,26.0,neutral or dissatisfied
1192,3,3,3,2,3,3,5,3,1,1,3,3,2,3,0,0.0,neutral or dissatisfied
1590,1,1,5,1,4,5,4,2,2,3,2,4,2,5,9,0.0,satisfied
874,3,4,3,2,2,3,4,2,2,4,4,2,2,2,0,0.0,neutral or dissatisfied
1790,5,3,5,5,5,4,5,5,5,5,5,3,5,5,45,41.0,satisfied
147,3,1,3,3,1,3,1,1,1,3,4,2,3,1,0,0.0,neutral or dissatisfied
338,1,3,1,3,3,1,3,3,2,1,4,4,4,3,1,0.0,neutral or dissatisfied
119,2,2,0,3,0,3,3,2,2,3,3,3,1,3,187,191.0,neutral or dissatisfied
1504,4,4,4,4,5,4,4,5,5,4,5,5,5,5,12,4.0,satisfied
251,1,2,2,2,1,1,1,1,4,3,4,1,4,1,2,0.0,neutral or dissatisfied
589,1,1,1,1,4,1,1,4,4,4,4,5,4,5,0,0.0,satisfied
468,3,2,4,2,3,3,3,3,4,1,3,3,3,3,1,0.0,neutral or dissatisfied
319,2,4,2,3,4,2,4,4,1,5,3,2,4,4,16,6.0,neutral or dissatisfied
3992,3,3,3,3,2,4,3,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
620,4,5,4,2,3,4,3,3,5,3,4,4,4,3,0,0.0,satisfied
1188,4,4,4,3,4,4,4,4,4,2,4,4,4,4,3,12.0,satisfied
2521,1,4,4,4,5,4,4,1,1,1,1,4,1,4,0,0.0,neutral or dissatisfied
862,3,5,5,5,3,3,3,3,4,3,3,2,3,3,52,54.0,neutral or dissatisfied
429,2,0,2,2,5,2,3,5,5,5,5,4,4,5,17,23.0,neutral or dissatisfied
220,3,3,3,4,3,3,3,3,2,3,3,4,3,3,0,1.0,neutral or dissatisfied
694,1,1,1,1,1,1,1,1,1,2,4,1,3,1,1,11.0,neutral or dissatisfied
550,3,4,4,4,3,3,3,3,5,1,3,4,3,3,0,0.0,satisfied
1533,3,2,2,2,2,3,3,3,3,3,3,1,3,2,0,0.0,neutral or dissatisfied
750,4,1,4,1,4,4,4,4,4,3,1,1,1,4,0,0.0,satisfied
82,1,5,1,1,3,1,4,3,3,3,5,5,5,3,0,0.0,neutral or dissatisfied
3335,4,4,4,4,2,5,4,4,4,4,4,4,4,3,18,44.0,satisfied
926,2,2,2,3,5,2,5,5,2,3,4,3,3,5,0,27.0,neutral or dissatisfied
134,0,4,0,3,3,4,4,5,5,5,5,5,5,5,0,0.0,satisfied
712,1,3,2,3,4,2,4,4,1,4,4,5,4,4,0,0.0,neutral or dissatisfied
334,5,4,5,3,4,4,3,2,2,5,2,4,2,1,0,0.0,satisfied
177,2,4,2,4,5,2,4,5,1,3,5,3,5,5,0,0.0,neutral or dissatisfied
1014,2,4,2,4,1,2,1,1,4,4,1,3,2,1,46,48.0,neutral or dissatisfied
3713,2,2,2,2,5,3,2,2,2,2,2,2,2,1,58,49.0,neutral or dissatisfied
3644,5,5,5,5,2,5,5,4,4,4,4,5,4,4,7,0.0,satisfied
373,1,2,1,3,1,1,1,1,1,3,4,4,3,1,0,0.0,neutral or dissatisfied
1576,0,4,0,3,2,3,4,3,3,0,2,1,3,4,0,0.0,satisfied
697,3,1,4,4,5,4,5,5,2,2,3,4,3,5,0,0.0,neutral or dissatisfied
1096,3,3,3,3,5,3,5,5,3,2,3,2,4,5,0,0.0,neutral or dissatisfied
547,4,2,4,4,5,4,4,4,4,4,4,1,4,1,0,0.0,satisfied
3737,5,5,4,5,5,5,5,3,4,4,5,5,5,5,172,156.0,satisfied
163,2,3,2,3,5,2,5,5,1,3,4,1,4,5,0,0.0,neutral or dissatisfied
2442,5,5,2,5,1,4,3,4,4,4,4,4,4,4,14,7.0,satisfied
1123,5,5,4,3,2,4,2,2,4,3,5,5,4,2,31,29.0,satisfied
3172,1,1,1,1,5,5,5,5,4,3,4,3,5,5,2,0.0,satisfied
1464,3,4,3,3,3,1,1,5,4,3,4,1,3,1,208,218.0,neutral or dissatisfied
3737,0,4,0,1,3,5,4,2,2,2,2,5,2,3,0,0.0,satisfied
484,3,2,3,3,2,3,4,2,1,5,3,2,2,2,10,13.0,neutral or dissatisfied
570,1,4,1,4,1,1,1,1,3,3,5,5,4,1,0,0.0,neutral or dissatisfied
1222,4,4,4,4,5,4,4,4,4,4,4,4,4,4,0,0.0,satisfied
501,5,0,5,5,3,5,4,3,4,4,4,5,5,3,0,7.0,satisfied
414,4,4,4,4,5,5,4,5,5,4,5,3,5,5,0,0.0,satisfied
160,5,3,3,3,3,5,3,5,5,5,5,2,5,2,0,0.0,satisfied
600,5,1,5,4,2,5,2,2,4,1,4,2,4,2,0,5.0,satisfied
1089,2,1,1,1,2,2,2,2,1,2,4,3,3,2,53,37.0,neutral or dissatisfied
1035,4,4,4,4,4,4,4,4,2,1,3,3,3,4,26,4.0,neutral or dissatisfied
588,3,2,3,3,4,3,4,4,2,3,4,1,3,4,45,101.0,neutral or dissatisfied
2746,3,3,3,3,3,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
643,2,2,3,2,2,4,4,4,4,4,4,3,4,3,33,24.0,satisfied
925,3,4,3,1,3,3,3,3,3,5,4,5,4,3,13,1.0,neutral or dissatisfied
657,4,0,4,3,3,5,4,3,3,4,3,4,3,5,0,0.0,neutral or dissatisfied
2277,1,1,1,1,1,4,1,5,5,5,5,4,5,4,12,11.0,satisfied
270,1,4,1,3,4,1,4,4,4,2,5,4,2,4,11,42.0,neutral or dissatisfied
583,4,4,4,3,4,4,4,4,4,3,5,5,5,4,6,13.0,neutral or dissatisfied
2343,3,2,2,2,3,3,3,2,4,4,3,3,1,3,149,108.0,neutral or dissatisfied
1846,3,3,2,2,4,2,4,4,3,1,4,5,3,4,11,0.0,neutral or dissatisfied
386,4,2,1,2,2,5,5,4,4,4,4,3,4,1,3,0.0,satisfied
2218,3,3,2,3,2,3,5,5,5,5,5,5,5,3,0,3.0,satisfied
1902,3,1,3,1,5,4,3,3,3,3,3,3,3,2,34,46.0,neutral or dissatisfied
404,3,0,3,2,1,3,1,1,3,3,5,1,1,1,0,0.0,neutral or dissatisfied
429,3,1,3,2,2,3,2,2,2,5,2,3,3,2,0,0.0,neutral or dissatisfied
2822,3,2,2,2,3,3,3,3,1,4,3,2,3,3,16,8.0,neutral or dissatisfied
300,4,4,4,2,3,4,3,3,4,3,2,5,3,3,0,0.0,neutral or dissatisfied
809,1,1,1,3,1,1,4,1,2,5,4,1,3,1,0,0.0,neutral or dissatisfied
770,2,2,2,4,3,2,4,3,4,2,3,1,3,3,103,77.0,neutral or dissatisfied
1910,3,5,4,2,2,4,2,2,4,5,4,3,5,2,0,6.0,neutral or dissatisfied
3749,1,1,1,1,4,4,4,4,3,1,5,4,4,4,8,0.0,satisfied
2837,2,2,2,2,3,5,5,2,2,2,2,3,2,3,17,49.0,satisfied
325,2,2,2,2,5,5,5,5,3,5,4,5,5,5,0,0.0,satisfied
1342,2,2,2,2,5,5,5,5,3,5,5,3,4,5,41,31.0,satisfied
223,3,3,3,3,5,3,5,5,1,2,4,4,4,5,0,0.0,neutral or dissatisfied
3552,1,1,1,1,5,5,5,5,5,4,5,3,5,5,18,0.0,satisfied
989,5,4,5,4,5,5,5,5,4,1,1,1,4,5,0,0.0,satisfied
224,0,3,1,5,4,1,4,4,5,1,2,4,4,4,0,0.0,satisfied
767,1,4,1,1,4,4,4,4,4,1,4,3,4,4,13,23.0,neutral or dissatisfied
1090,1,4,2,3,4,2,1,4,4,3,4,2,4,4,63,59.0,neutral or dissatisfied
331,1,5,5,5,1,1,1,1,2,1,4,2,4,1,0,0.0,neutral or dissatisfied
2079,2,2,2,2,3,5,5,5,5,5,5,4,5,4,0,3.0,satisfied
444,1,4,4,4,5,5,5,2,2,4,1,4,2,5,2,0.0,neutral or dissatisfied
463,2,5,2,5,5,2,5,5,4,4,5,3,5,5,0,0.0,neutral or dissatisfied
420,3,3,3,1,2,3,2,2,3,5,4,4,2,2,0,0.0,neutral or dissatisfied
1999,3,4,4,4,3,3,3,3,4,4,3,1,3,3,13,8.0,neutral or dissatisfied
3318,4,2,2,2,5,4,4,4,4,4,4,1,4,4,0,0.0,neutral or dissatisfied
476,4,4,5,4,3,2,5,4,4,4,4,3,4,4,0,0.0,satisfied
850,1,1,1,1,4,4,4,4,2,1,2,3,5,4,0,0.0,satisfied
2363,2,2,2,2,4,4,4,4,4,4,4,4,4,5,48,40.0,satisfied
2446,4,4,4,4,4,5,4,4,3,5,4,4,4,4,0,0.0,satisfied
1400,2,2,2,2,5,5,5,5,3,5,2,2,5,5,0,0.0,satisfied
2296,3,3,3,1,5,3,5,5,5,2,5,3,5,5,9,3.0,neutral or dissatisfied
1797,3,5,3,2,2,5,2,3,3,3,3,3,3,5,21,2.0,neutral or dissatisfied
321,2,2,2,4,4,2,1,4,4,4,4,3,5,4,5,3.0,neutral or dissatisfied
3959,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
1644,0,4,0,3,1,4,2,5,5,5,5,5,5,5,0,0.0,satisfied
1075,3,2,2,4,4,2,4,4,1,1,4,1,3,4,0,3.0,neutral or dissatisfied
404,3,3,5,3,3,4,4,4,4,4,4,5,4,5,0,0.0,satisfied
151,3,3,3,3,5,3,5,5,4,2,5,4,4,5,10,2.0,neutral or dissatisfied
3949,5,5,1,5,1,1,4,4,4,4,4,1,4,2,0,0.0,satisfied
3637,2,4,4,4,2,4,3,1,1,1,2,3,1,2,6,0.0,neutral or dissatisfied
337,2,5,2,3,4,2,1,4,3,4,5,3,5,4,5,9.0,neutral or dissatisfied
3689,1,5,5,5,4,3,4,1,1,1,1,4,1,4,67,50.0,neutral or dissatisfied
651,2,5,2,4,3,2,3,3,5,3,1,5,4,3,0,0.0,neutral or dissatisfied
2196,3,4,5,4,3,4,3,3,3,3,3,3,3,3,29,32.0,neutral or dissatisfied
689,2,2,2,3,5,2,3,5,3,5,4,1,3,5,22,19.0,neutral or dissatisfied
888,3,5,3,3,1,3,1,1,4,3,4,3,5,1,0,48.0,neutral or dissatisfied
967,3,4,3,4,5,5,5,3,3,3,3,5,3,3,15,25.0,neutral or dissatisfied
763,2,2,2,3,3,2,2,3,4,3,5,4,4,3,0,0.0,neutral or dissatisfied
900,1,5,4,4,1,1,1,1,1,1,4,2,3,1,43,19.0,neutral or dissatisfied
164,3,2,3,4,1,4,4,2,2,3,2,1,2,4,0,0.0,neutral or dissatisfied
528,4,3,4,2,1,4,1,1,2,4,3,5,2,1,0,0.0,satisfied
257,4,3,3,3,3,4,3,4,4,4,4,3,4,4,9,19.0,neutral or dissatisfied
545,2,3,1,3,2,2,2,2,3,4,2,4,3,2,67,64.0,neutral or dissatisfied
214,2,0,2,3,2,2,2,2,5,3,5,3,5,2,21,25.0,neutral or dissatisfied
2289,3,2,2,2,5,3,4,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
304,5,5,3,5,2,3,4,4,4,4,4,4,4,3,0,0.0,satisfied
967,3,5,3,1,4,3,4,4,3,3,4,4,5,4,0,0.0,neutral or dissatisfied
590,3,1,1,1,3,3,3,3,2,4,4,1,4,3,30,63.0,neutral or dissatisfied
273,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,52.0,satisfied
405,3,1,3,3,2,3,2,2,2,3,3,4,3,2,25,10.0,neutral or dissatisfied
1226,3,3,3,4,3,3,3,3,3,2,5,4,1,3,15,17.0,neutral or dissatisfied
678,4,3,3,2,5,4,5,5,5,4,5,3,5,5,14,12.0,satisfied
308,3,3,3,3,5,4,5,5,5,1,4,4,4,5,0,3.0,satisfied
177,2,5,2,2,3,2,3,3,2,1,4,5,1,3,0,0.0,neutral or dissatisfied
2920,1,1,4,1,4,5,4,4,4,4,4,4,4,4,9,1.0,satisfied
109,5,3,3,3,5,4,5,5,5,5,5,2,5,5,0,0.0,satisfied
3650,1,1,5,1,4,4,4,5,5,4,5,5,5,5,0,0.0,satisfied
3040,2,2,2,2,2,2,2,2,4,1,2,4,3,2,27,42.0,satisfied
164,1,1,1,1,5,4,4,4,4,4,4,3,4,5,0,11.0,satisfied
258,1,2,2,2,1,1,1,1,3,3,4,2,3,1,15,15.0,neutral or dissatisfied
305,2,0,2,1,3,2,3,3,2,3,4,1,1,3,2,0.0,neutral or dissatisfied
160,2,2,2,1,4,2,5,4,5,2,4,5,5,4,0,0.0,neutral or dissatisfied
78,3,3,3,3,5,5,4,5,5,5,5,5,5,3,32,24.0,satisfied
522,4,4,4,3,4,4,4,4,5,4,4,5,5,4,106,104.0,neutral or dissatisfied
1337,3,1,5,1,1,4,4,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
961,5,0,4,2,5,4,5,5,4,5,4,5,5,5,6,0.0,satisfied
109,1,1,1,3,2,1,2,2,2,4,3,3,2,2,0,0.0,neutral or dissatisfied
236,4,3,3,3,4,3,3,4,4,4,4,1,4,3,0,1.0,neutral or dissatisfied
721,3,4,3,4,1,4,2,2,2,3,5,3,2,5,0,0.0,neutral or dissatisfied
1585,1,4,1,1,4,1,4,4,5,2,5,3,4,4,0,0.0,neutral or dissatisfied
240,5,0,5,2,1,5,1,1,2,3,5,2,1,1,2,27.0,satisfied
3776,2,3,3,3,1,3,3,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied
1801,2,2,2,2,3,4,5,4,4,4,4,4,4,4,0,0.0,satisfied
1634,1,1,1,1,2,4,4,3,3,3,3,4,3,3,0,0.0,satisfied
1512,3,3,5,3,1,2,1,2,2,2,2,1,2,1,0,0.0,satisfied
406,1,1,1,4,1,1,1,1,1,2,4,3,3,1,15,0.0,neutral or dissatisfied
1587,1,5,5,5,1,4,3,1,1,1,1,4,1,4,0,0.0,neutral or dissatisfied
261,5,5,5,5,5,5,4,5,3,2,3,3,3,5,0,0.0,satisfied
1298,3,2,3,2,5,3,5,5,3,2,3,2,3,5,0,0.0,neutral or dissatisfied
253,4,5,4,4,4,4,4,4,3,2,1,2,2,4,0,0.0,satisfied
3489,0,5,0,1,2,5,4,1,1,1,1,5,1,5,0,0.0,satisfied
944,3,4,4,4,4,4,4,4,1,4,3,2,3,4,0,7.0,neutral or dissatisfied
164,5,5,5,5,3,2,4,5,5,5,3,2,5,2,0,0.0,satisfied
561,3,3,1,3,4,4,4,4,4,4,5,3,4,4,79,93.0,satisfied
2683,2,2,2,2,2,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
258,3,4,3,3,3,3,3,3,3,5,3,3,4,3,18,16.0,neutral or dissatisfied
460,4,4,4,2,1,5,3,1,1,4,1,2,1,5,0,3.0,satisfied
163,1,2,2,2,1,1,1,1,2,3,3,4,4,1,0,0.0,neutral or dissatisfied
2496,4,4,4,4,4,4,4,4,2,4,4,4,5,4,0,0.0,satisfied
814,2,2,2,4,1,2,1,1,3,1,2,4,3,1,5,12.0,neutral or dissatisfied
3639,0,5,0,5,2,1,2,5,5,5,5,1,5,3,0,16.0,satisfied
2669,1,1,1,1,1,1,1,5,5,5,3,4,5,1,53,47.0,satisfied
403,2,2,2,3,2,2,2,2,1,1,4,1,3,2,0,0.0,neutral or dissatisfied
1487,3,5,3,1,1,3,1,1,5,4,4,4,5,1,0,0.0,neutral or dissatisfied
606,3,4,3,1,3,3,3,3,5,1,5,4,2,3,0,0.0,neutral or dissatisfied
3540,2,2,2,2,4,5,4,5,5,5,5,3,5,3,8,2.0,satisfied
3617,4,5,5,5,1,3,3,4,4,4,4,3,4,2,20,36.0,neutral or dissatisfied
343,5,3,3,3,2,1,5,5,5,5,5,1,5,1,35,28.0,satisfied
386,5,5,5,5,2,5,4,3,3,3,3,5,3,5,7,0.0,satisfied
280,1,1,1,1,5,4,3,5,5,5,5,3,5,4,0,0.0,satisfied
759,4,2,2,2,4,4,4,4,2,5,4,1,4,4,0,2.0,satisfied
733,3,3,2,3,3,3,3,3,4,3,4,2,4,3,39,32.0,neutral or dissatisfied
377,3,2,2,2,4,3,4,4,3,1,4,1,3,4,84,79.0,neutral or dissatisfied
883,2,5,5,5,2,2,2,2,1,2,4,3,3,2,22,30.0,neutral or dissatisfied
767,3,3,3,3,4,3,4,4,4,4,4,4,5,4,0,0.0,neutral or dissatisfied
3560,5,5,5,5,5,5,5,5,4,2,5,4,5,5,0,0.0,satisfied
2247,4,2,4,4,4,4,4,4,2,2,5,2,2,4,0,0.0,satisfied
954,2,3,2,4,1,2,1,1,5,3,5,3,3,1,6,0.0,neutral or dissatisfied
459,1,4,1,3,4,1,4,4,3,3,5,4,5,4,2,1.0,neutral or dissatisfied
438,2,4,2,1,4,3,1,2,2,2,2,4,2,4,7,30.0,neutral or dissatisfied
239,4,5,4,4,1,3,3,4,4,4,4,3,4,2,0,4.0,neutral or dissatisfied
533,4,4,4,3,2,4,2,2,1,4,4,1,4,2,0,0.0,neutral or dissatisfied
705,4,4,4,4,3,3,5,4,4,4,4,2,4,3,0,0.0,satisfied
680,4,2,3,2,4,4,4,4,4,3,5,5,4,4,1,0.0,satisfied
284,0,0,0,1,2,2,2,2,4,5,3,4,1,2,0,0.0,satisfied
373,2,2,2,4,2,2,4,2,2,2,4,3,3,2,0,0.0,neutral or dissatisfied
259,3,4,3,5,5,3,5,5,2,5,5,1,5,5,3,12.0,neutral or dissatisfied
666,4,3,3,2,5,3,4,5,2,5,4,5,1,5,14,13.0,neutral or dissatisfied
919,1,2,2,3,1,2,1,1,3,4,4,5,4,1,3,18.0,neutral or dissatisfied
1303,5,5,5,5,4,5,5,2,2,2,2,4,2,3,0,0.0,satisfied
134,3,2,3,4,4,3,4,4,4,1,3,3,3,4,0,0.0,neutral or dissatisfied
3354,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
570,3,3,3,1,2,3,2,2,4,4,4,5,4,2,4,8.0,neutral or dissatisfied
1846,1,2,1,3,5,1,2,5,2,3,2,4,3,5,4,0.0,neutral or dissatisfied
1235,4,4,4,4,4,4,2,4,3,5,4,3,4,4,0,5.0,satisfied
515,2,2,2,5,4,2,4,4,4,5,5,4,4,4,0,0.0,neutral or dissatisfied
2279,5,5,5,5,3,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
208,0,4,0,2,4,4,4,4,3,3,4,2,3,4,0,0.0,satisfied
1960,2,2,5,2,5,5,4,5,5,5,5,5,5,3,43,30.0,satisfied
848,1,1,1,1,4,4,4,4,4,4,5,4,3,4,207,223.0,satisfied
2342,3,4,3,3,3,3,3,1,3,5,5,3,3,3,0,0.0,neutral or dissatisfied
804,1,0,0,1,2,0,2,2,4,2,3,1,5,2,0,1.0,neutral or dissatisfied
862,2,1,1,1,4,1,4,4,1,3,3,2,4,4,15,25.0,neutral or dissatisfied
239,4,2,4,3,5,4,5,5,1,1,4,4,4,5,22,18.0,neutral or dissatisfied
1346,3,3,3,3,3,4,4,5,5,5,5,3,5,5,5,0.0,satisfied
406,2,4,4,4,5,3,3,2,2,2,2,4,2,4,2,13.0,neutral or dissatisfied
805,4,1,1,1,4,3,3,4,4,4,4,4,4,2,95,86.0,satisfied
231,5,1,1,1,5,5,1,5,5,5,5,5,5,2,74,92.0,satisfied
366,2,1,2,2,5,2,5,5,2,1,2,3,2,5,26,22.0,neutral or dissatisfied
363,1,5,1,4,4,1,4,4,3,4,4,4,4,4,0,0.0,neutral or dissatisfied
1012,4,5,4,1,5,4,5,5,1,1,1,1,4,5,0,0.0,satisfied
591,4,4,4,1,4,4,5,3,3,4,3,5,3,5,30,30.0,neutral or dissatisfied
247,0,5,0,4,5,4,4,1,1,0,5,3,1,3,0,12.0,satisfied
247,3,4,3,2,5,4,5,2,2,3,2,5,2,4,15,3.0,neutral or dissatisfied
683,1,1,1,1,3,5,5,5,5,5,5,5,5,3,3,4.0,satisfied
793,3,4,3,3,4,4,5,2,2,3,2,5,2,4,0,11.0,neutral or dissatisfied
397,4,4,3,3,5,4,3,4,4,4,4,4,4,3,21,27.0,neutral or dissatisfied
3572,2,5,5,5,2,2,2,2,2,4,3,2,4,2,0,0.0,neutral or dissatisfied
1010,2,5,2,3,2,2,2,2,3,3,5,5,2,2,17,8.0,neutral or dissatisfied
2565,2,2,2,2,3,4,5,3,3,3,3,5,3,5,0,0.0,satisfied
1605,3,4,2,3,5,2,5,5,5,2,5,5,4,5,48,69.0,neutral or dissatisfied
3539,1,1,1,1,4,4,4,5,5,5,5,5,5,4,17,12.0,satisfied
444,2,4,2,4,3,2,3,3,4,2,5,5,4,3,0,0.0,neutral or dissatisfied
2615,5,5,5,5,4,4,4,3,4,4,4,4,3,4,0,0.0,satisfied
457,1,1,1,3,1,1,1,1,1,1,3,2,4,1,0,0.0,neutral or dissatisfied
3361,2,4,4,4,2,2,2,2,4,1,4,4,3,2,51,59.0,neutral or dissatisfied
2381,2,5,5,5,3,3,4,2,2,2,2,4,2,4,0,0.0,neutral or dissatisfied
534,2,2,2,2,2,2,1,2,4,3,3,2,3,2,2,56.0,neutral or dissatisfied
163,4,5,4,3,2,4,2,2,3,3,4,4,5,2,0,0.0,neutral or dissatisfied
191,5,3,4,3,5,5,5,5,2,2,5,4,2,5,0,13.0,satisfied
447,5,5,2,3,3,2,5,3,4,3,2,3,5,3,102,93.0,satisfied
239,2,4,2,3,1,2,1,1,4,4,3,4,4,1,0,0.0,neutral or dissatisfied
781,5,3,3,3,5,5,5,5,5,1,2,1,5,5,30,14.0,satisfied
576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0.0,satisfied
2006,5,5,5,5,2,5,5,4,4,4,4,3,4,4,28,36.0,satisfied
1205,4,1,4,4,4,4,5,4,4,2,3,3,3,4,8,0.0,neutral or dissatisfied
2620,1,1,1,1,5,5,5,5,5,4,5,3,5,5,1,0.0,satisfied
1085,5,3,5,2,3,4,4,1,1,5,1,5,1,2,0,0.0,satisfied
